,Name,Score,Review,Link,Addr,area,lat,lng
0,울트라마린,4.5,444,https://place.map.kakao.com/1915903142,"
제주특별자치도 제주시 한경면 일주서로 4611 지하1층
(지번) 한경면 판포리 1611
",hangyeong,33.3693842,126.2061707
1,클랭블루,4.5,495,https://place.map.kakao.com/1313144249,"
제주특별자치도 제주시 한경면 한경해안로 552-22
(지번) 한경면 신창리 1293-1
",hangyeong,33.3328723,126.1697983
2,우호적무관심,4.0,130,https://place.map.kakao.com/615161662,"
제주특별자치도 제주시 한경면 저지12길 103
(지번) 한경면 저지리 2120-16
",hangyeong,33.3397466,126.261347
3,하소로커피,4.7,49,https://place.map.kakao.com/2036344906,"
제주특별자치도 제주시 한경면 불그못로 72
(지번) 한경면 조수리 4007-2
",hangyeong,33.2955618,126.2179904
4,3인칭관찰자시점,3.16,139,https://place.map.kakao.com/1947663934,"
제주특별자치도 제주시 한경면 신창7길 24 A, B동 1층
(지번) 한경면 신창리 301
",hangyeong,33.3497677,126.1813189
5,귤당리,4.2,92,https://place.map.kakao.com/165124400,"
제주특별자치도 제주시 한경면 일주서로 4492 1,2층
(지번) 한경면 판포리 2950
",hangyeong,33.3414039,126.1898997
6,트라이브 신창점,4.8,21,https://place.map.kakao.com/639029672,"
제주특별자치도 제주시 한경면 한경해안로 474-22 1, 2층
(지번) 한경면 신창리 1371-18
",hangyeong,33.340337,126.1730985
7,카페파람,4.1,23,https://place.map.kakao.com/20199015,"
제주특별자치도 제주시 한경면 한경해안로 470
(지번) 한경면 신창리 1353-1
",hangyeong,33.3417993,126.1713215
8,카페원웨이,4.6,55,https://place.map.kakao.com/378533601,"
제주특별자치도 제주시 한경면 일주서로 4459-4
(지번) 한경면 금등리 652-4
",hangyeong,33.3626289,126.1929895
9,오지힐 제주점,3.1,215,https://place.map.kakao.com/717162944,"
제주특별자치도 제주시 한경면 일주서로 4469
(지번) 한경면 금등리 646
",hangyeong,33.3628573,126.1934393
10,해거름전망대카페,4.1,40,https://place.map.kakao.com/17350387,"
제주특별자치도 제주시 한경면 판포리 1608

",hangyeong,33.370031,126.2062628
11,산노루,4.2,221,https://place.map.kakao.com/1990235814,"
제주특별자치도 제주시 한경면 낙원로 32
(지번) 한경면 조수리 2098-4
",hangyeong,33.3254783,126.2263325
12,유람위드북스,4.9,50,https://place.map.kakao.com/528690715,"
제주특별자치도 제주시 한경면 조수동2길 54-36
(지번) 한경면 조수리 43-1
",hangyeong,33.3447148,126.2337887
13,안녕구움,4.7,46,https://place.map.kakao.com/582294685,"
제주특별자치도 제주시 한경면 고산로 49 1층
(지번) 한경면 고산리 2726-1
",hangyeong,33.3053522,126.1791699
14,할로비치 본점,3.8,19,https://place.map.kakao.com/1844748577,"
제주특별자치도 제주시 한경면 녹차분재로 354
(지번) 한경면 저지리 3267
",hangyeong,33.326752,126.253367
15,헤이피피,4.2,88,https://place.map.kakao.com/1053673971,"
제주특별자치도 제주시 한경면 일주서로 4533-3
(지번) 한경면 판포리 2869-3
",hangyeong,33.3654338,126.1989556
16,제주돌창고,4.5,55,https://place.map.kakao.com/688685012,"
제주특별자치도 제주시 한경면 조수7길 8 1층
(지번) 한경면 조수리 113-6
",hangyeong,33.3376764,126.2312478
17,노을해안1014,4.3,57,https://place.map.kakao.com/1191501173,"
제주특별자치도 제주시 한경면 노을해안로 1014 1,2층
(지번) 한경면 고산리 3431-1
",hangyeong,33.30191540000001,126.1657993
18,하와,5.0,11,https://place.map.kakao.com/908807588,"
제주특별자치도 제주시 한경면 일주서로 4533-9
(지번) 한경면 판포리 2877
",hangyeong,33.3654338,126.1989556
19,카페데스틸,4.2,26,https://place.map.kakao.com/1017395595,"
제주특별자치도 제주시 한경면 한경해안로 110
(지번) 한경면 용수리 4291-4
",hangyeong,33.320963,126.178538
