Name,Score,Review,Link,Addr
블랑로쉐,4.0,리뷰 405,https://place.map.kakao.com/26862756,"
제주특별자치도 제주시 우도면 우도해안길 783
(지번) 우도면 연평리 712
"
카페살레,4.7,리뷰 164,https://place.map.kakao.com/811454849,"
제주특별자치도 제주시 우도면 우도해안길 816 1,2층
(지번) 우도면 연평리 1290-2
"
안녕육지사람,3.5,리뷰 200,https://place.map.kakao.com/18742934,"
제주특별자치도 제주시 우도면 우도해안길 792
(지번) 우도면 연평리 1197-4
"
슈가탱크,4.5,리뷰 25,https://place.map.kakao.com/1009948858,"
제주특별자치도 제주시 우도면 우도봉길 41
(지번) 우도면 연평리 344
"
훈데르트윈즈,3.2,리뷰 85,https://place.map.kakao.com/676261169,"
제주특별자치도 제주시 우도면 우도해안길 32-2
(지번) 우도면 연평리 1729-1
"
카페인우도,4.7,리뷰 48,https://place.map.kakao.com/184819082,"
제주특별자치도 제주시 우도면 우도해안길 1040 1층
(지번) 우도면 연평리 290-10
"
카페아이니,4.9,리뷰 25,https://place.map.kakao.com/1483273979,"
제주특별자치도 제주시 우도면 우도해안길 778 나동 1층
(지번) 우도면 연평리 1189
"
뽀요요카페,3.4,리뷰 1,https://place.map.kakao.com/27495099,"
제주특별자치도 제주시 우도면 우도해안길 128
(지번) 우도면 연평리 2652
"
디바인커피,3.9,리뷰 23,https://place.map.kakao.com/1868305338,"
제주특별자치도 제주시 우도면 우도해안길 1112
(지번) 우도면 연평리 312-1
"
우도꽃길,5.0,리뷰 323,https://place.map.kakao.com/14020942,"
제주특별자치도 제주시 우도면 우도해안길 576
(지번) 우도면 연평리 811-1
"
우도하영,4.5,리뷰 13,https://place.map.kakao.com/914906312,"
제주특별자치도 제주시 우도면 우도해안길 516 1층
(지번) 우도면 연평리 867
"
연이네,4.3,리뷰 13,https://place.map.kakao.com/756835035,"
제주특별자치도 제주시 우도면 우도해안길 662-1
(지번) 우도면 연평리 1081
"
헬로우우도,3.5,리뷰 7,https://place.map.kakao.com/24579606,"
제주특별자치도 제주시 우도면 우도해안길 218
(지번) 우도면 연평리 2572
"
카페톨칸이,4.3,리뷰 28,https://place.map.kakao.com/603794320,"
제주특별자치도 제주시 우도면 우도해안길 32-24
(지번) 우도면 연평리 1707
"
망고레이 우도점,3.7,리뷰 5,https://place.map.kakao.com/1230815244,"
제주특별자치도 제주시 우도면 우도로 1
(지번) 우도면 연평리 1747-5
"
안녕육지사람 2호점,3.3,리뷰 10,https://place.map.kakao.com/2057401857,"
제주특별자치도 제주시 우도면 우도해안길 802
(지번) 우도면 연평리 1200-7
"
하얀산호카페,4.8,리뷰 3,https://place.map.kakao.com/847261961,"
제주특별자치도 제주시 우도면 우도해안길 144 1층
(지번) 우도면 연평리 2649-1
"
달그리안,3.8,리뷰 13,https://place.map.kakao.com/1262990563,"
제주특별자치도 제주시 우도면 우도해안길 1128 디동 1~2층
(지번) 우도면 연평리 317-4
"
밭318,4.7,리뷰 48,https://place.map.kakao.com/1298709887,"
제주특별자치도 제주시 우도면 우도해안길 1144
(지번) 우도면 연평리 318
"
리치망고 우도검멀레점,4.3,리뷰 26,https://place.map.kakao.com/489755369,"
제주특별자치도 제주시 우도면 우도해안길 1132
(지번) 우도면 연평리 317-2
"
우땅,1.5,리뷰 5,https://place.map.kakao.com/1122070719,"
제주특별자치도 제주시 우도면 우도해안길 352 1층
(지번) 우도면 연평리 2395-3
"
제주한량,5.0,리뷰 2,https://place.map.kakao.com/153091550,"
제주특별자치도 제주시 우도면 우도해안길 1100
(지번) 우도면 연평리 309
"
유유자적,4.3,리뷰 18,https://place.map.kakao.com/338906564,"
제주특별자치도 제주시 우도면 우도해안길 780-2 1층
(지번) 우도면 연평리 1190
"
카페러움,4.9,리뷰 2,https://place.map.kakao.com/1611164394,"
제주특별자치도 제주시 우도면 우도해안길 458
(지번) 우도면 연평리 972-3
"
우도바라기,5.0,리뷰 5,https://place.map.kakao.com/1015501764,"
제주특별자치도 제주시 우도면 우도해안길 302 1층
(지번) 우도면 연평리 2469
"
우도래요,4.0,리뷰 89,https://place.map.kakao.com/1502206846,"
제주특별자치도 제주시 우도면 우도해안길 360 1층
(지번) 우도면 연평리 2391-2
"
베늘,5.0,리뷰 3,https://place.map.kakao.com/1954205150,"
제주특별자치도 제주시 우도면 우도로 8-22
(지번) 우도면 연평리 1687
"
우도특별시,0.0,리뷰 13,https://place.map.kakao.com/641064188,"
제주특별자치도 제주시 우도면 우도해안길 998 1층
(지번) 우도면 연평리 133-4
"
보름코지,4.7,리뷰 0,https://place.map.kakao.com/2017506919,"
제주특별자치도 제주시 우도면 우도해안길 1100 1층
(지번) 우도면 연평리 309
"
우도예쁘다,4.0,리뷰 7,https://place.map.kakao.com/1734694391,"
제주특별자치도 제주시 우도면 우도해안길 940
(지번) 우도면 연평리 71
"
고양이선장카페,3.0,리뷰 4,https://place.map.kakao.com/1759906923,"
제주특별자치도 제주시 우도면 우도해안길 170 1층
(지번) 우도면 연평리 2631
"
"코 삿, 우도",4.9,리뷰 4,https://place.map.kakao.com/1237676762,"
제주특별자치도 제주시 우도면 우도로 28 1층
(지번) 우도면 연평리 1680-1
"
휴예그리나,4.6,리뷰 15,https://place.map.kakao.com/1394263800,"
제주특별자치도 제주시 우도면 우도해안길 626
(지번) 우도면 연평리 789
"
우도랑,3.3,리뷰 10,https://place.map.kakao.com/967435010,"
제주특별자치도 제주시 우도면 우도해안길 322 1,2층
(지번) 우도면 연평리 2466
"
비양정거장,4.5,리뷰 3,https://place.map.kakao.com/716819540,"
제주특별자치도 제주시 우도면 우도해안길 918
(지번) 우도면 연평리 33
"
엉클망고,3.7,리뷰 0,https://place.map.kakao.com/26852530,"
제주특별자치도 제주시 우도면 우도해안길 342
(지번) 우도면 연평리 2396-6
"
소소샵,4.8,리뷰 2,https://place.map.kakao.com/1498134128,"
제주특별자치도 제주시 우도면 우도해안길 518 1층
(지번) 우도면 연평리 866
"
봉봉,3.2,리뷰 2,https://place.map.kakao.com/20399392,"
제주특별자치도 제주시 우도면 우도해안길 630
(지번) 우도면 연평리 763
"
카페결,5.0,리뷰 11,https://place.map.kakao.com/872497091,"
제주특별자치도 제주시 우도면 하고수길 64 B동 1, 2층
(지번) 우도면 연평리 1289
"
우도북카페,5.0,리뷰 0,https://place.map.kakao.com/1818986336,"
제주특별자치도 제주시 우도면 우도로 163
(지번) 우도면 연평리 1407
"
퐁당,4.7,리뷰 5,https://place.map.kakao.com/1967886953,"
제주특별자치도 제주시 우도면 우도해안길 464 1층
(지번) 우도면 연평리 968
"
마르보다,5.0,리뷰 14,https://place.map.kakao.com/412759472,"
제주특별자치도 제주시 우도면 우도해안길 828 1층
(지번) 우도면 연평리 676
"
카페뷰,5.0,리뷰 29,https://place.map.kakao.com/635033306,"
제주특별자치도 제주시 우도면 우도해안길 684 1층
(지번) 우도면 연평리 752
"
우도돌코롬카페,5.0,리뷰 1,https://place.map.kakao.com/1162639495,"
제주특별자치도 제주시 우도면 우도봉길 2
(지번) 우도면 연평리 1658-1
"
우도부릉이,4.6,리뷰 3,https://place.map.kakao.com/625609046,"
제주특별자치도 제주시 우도면 우도해안길 480 1층
(지번) 우도면 연평리 966
"
잔디가미,3.6,리뷰 0,https://place.map.kakao.com/1766646437,"
제주특별자치도 제주시 우도면 우도해안길 912 1층
(지번) 우도면 연평리 26
"
아카이브우도,4.5,리뷰 0,https://place.map.kakao.com/659486813,"
제주특별자치도 제주시 우도면 우도해안길 804 1층
(지번) 우도면 연평리 1185-2
"
플레이스우도,4.0,리뷰 3,https://place.map.kakao.com/304061278,"
제주특별자치도 제주시 우도면 우도해안길 796-1
(지번) 우도면 연평리 1200-5
"
카페컴프,,리뷰 8,https://place.map.kakao.com/1524888463,"
제주특별자치도 제주시 우도면 우도해안길 804 1층
(지번) 우도면 연평리 1185-2
"
피너트,5.0,리뷰 2,https://place.map.kakao.com/1533058451,"
제주특별자치도 제주시 우도면 우도해안길 804 1층
(지번) 우도면 연평리 1185-2
"
우도해녀922,5.0,리뷰 1,https://place.map.kakao.com/1036297229,"
제주특별자치도 제주시 우도면 우도해안길 922
(지번) 우도면 연평리 36
"
주노마드레,1.0,리뷰 0,https://place.map.kakao.com/27369024,"
제주특별자치도 제주시 우도면 우도해안길 780-2
(지번) 우도면 연평리 1190
"
남쪽마녀의레시피,5.0,리뷰 98,https://place.map.kakao.com/765730229,"
제주특별자치도 제주시 우도면 우도해안길 694
(지번) 우도면 연평리 751-1
"
망고레이우땅밤,0.0,리뷰 0,https://place.map.kakao.com/2108989034,"
제주특별자치도 제주시 우도면 우도로 1
(지번) 우도면 연평리 1747
"
수평선,4.0,리뷰 2,https://place.map.kakao.com/1424769170,"
제주특별자치도 제주시 우도면 우도해안길 388
(지번) 우도면 연평리 2369
"
나포리카페,0.0,리뷰 0,https://place.map.kakao.com/1082954673,"
제주특별자치도 제주시 우도면 안비양길 47-3 2층
(지번) 우도면 연평리 5
"
스윗카페우도,0.0,리뷰 0,https://place.map.kakao.com/1946246325,"
제주특별자치도 제주시 우도면 우도로 5-6 1층
(지번) 우도면 연평리 1748
"
뜨라네카페,0.0,리뷰 3,https://place.map.kakao.com/1515097008,"
제주특별자치도 제주시 우도면 우도해안길 828
(지번) 우도면 연평리 676
"
돌코롬카페,0.0,리뷰 0,https://place.map.kakao.com/759893317,"
제주특별자치도 제주시 우도면 우도해안길 352
(지번) 우도면 연평리 2395-3
"
우도다방,0.0,리뷰 5,https://place.map.kakao.com/1508631157,"
제주특별자치도 제주시 우도면 우도해안길 796
(지번) 우도면 연평리 1200
"
